BGAT|APUTITEQ (AUT)|67.783|-32.3|18
BGAT|APUTITEEQ|67.783|-32.299|12
BGAM|TASIILAQ /AMMASSALI|65.6|-37.633|52
BGKK|KULUSUK|65.567|-37.133|37
BGPC|PRINS CHRISTIAN SUN|60.05|-43.167|75
BGRN|DYE 2|66.481|-46.283|2098
EKVG|VAGAR|62.067|-7.283|88
EKHR|HORNS REV A|55.5|7.867|21
EKHN|HORNS REV B|55.583|7.617|10
EKGF|TYRA OEST|55.717|4.8|43
EKGC|GORM C|55.58|4.759|96
EKHA|HALFDAN A|55.531|5.004|92
EKTE|TYRA E|55.722|4.802|95
EKHD|HARALD HELIDECK OIL|56.344|4.272|95
EKTS|THISTED LUFTHAV|57.067|8.717|8
EKYT|FLYVESTATION AALBOR|57.1|9.85|13
EKSN|SINDAL|57.5|10.217|28
EKHS|HADSUND|56.717|10.117|2
EK20|LINDTORP AIRPORT|56.4|8.45|15
EKHR|HORNS REV A HELIDEC|55.517|7.867|10
EKKA|KARUP|56.3|9.117|53
EKSV|SKIVE|56.55|9.167|23
EKVJ|STAUNING|56|8.35|6
EKAH|AARHUS LUFTHAVN|56.317|10.633|23
EKAT|ANHOLT ISLAND (AUT)|56.7|11.55|8
EKEB|ESBJERG|55.533|8.567|29
EKHG|HERNING/SKINDERHOLM|56.183|9.033|51
EKVA|VANDEL|55.7|9.2|73
EKBI|BILLUND|55.733|9.167|80
EKVD|KOLDINGEGNENS LUFTHA|55.433|9.333|45
EKSP|SKRYDSTRUP|55.233|9.267|47
EKSB|SOENDERBORG|54.967|9.783|18
EKOD|ODENSE/BELDRINGE|55.483|10.333|21
EKST|TAASINGE|55.017|10.567|7
EKAV|AVNO AIR BASE|55.083|11.783|4
EKMB|MARIBO|54.7|11.45|4
EKMB|MARIBO AIRPORT|54.7|11.45|5
EKVL|VAERLOESE|55.767|12.333|31
EKRK|COPENHAGEN/ROSKILDE|55.583|12.133|45
EKRK|ROSKILDE/TUNE|55.583|12.133|43
EKCH|KOEBENHAVN/KASTRUP|55.617|12.65|5
EKRN|ROENNE|55.067|14.75|17
EHDV|D15-FA-1 HELIPAD OIL|54.317|2.933|36
EHPG|P11-B / DE RUYTER|52.367|3.35|24
EHKV|K14-FA-1C|53.267|3.633|27
